CODIGO,DESCRIPCION,MODELO,TAGS,QTY,N_PARTE
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,WA250Y-10
343145,BOMBA ASH 10 x 10 x 21-SRH S/MOTOR,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460200045
465500,BBA. WARMAN 10X10 SRH_BS PUR IMP.ABIERTO REPARABLE,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,
468488,CARCASA SUCCION,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460101000
468496,CARCASA PRENSA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460102000
343103,REVESTIMIENTO LADO SUCCION,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460104090
343095,REVESTIMIENTO LADO PRENSA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460105090
343137,IMPULSOR,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460107390
343384,DISCO SUCCION,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460110090
343152,DISCO PRENSA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460211090
468553,EMPAQUETADURA FLANGE DESCARGA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460197262
468561,CAJA PRENSA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460230000
468579,PRENSA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460131000
354464,ANILLO HIDRAULICO,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460132001
343160,CAMISA EJE,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460133000
456079,ANILLO ESPACIADOR (golilla impulsor),10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460134000
